Mã giao dịch,Ngày bán,Tên mặt hàng,Mã sản phẩm,Số lượng,Đơn giá,Thành tiền,Mã nhân viên,Phương thức thanh toán,Mã khách hàng,Thành phố
HD0400001,2025-04-18 15:08,Bánh mì sandwich Tường An,SP047,3,23000,69000,NV045,Thẻ,KH102,Tuyên Quang
HD0400002,2025-04-01 01:33,Ổ cắm điện 3 lỗ,SP088,7,30000,210000,NV035,Tiền mặt,KH014,Tuyên Quang
HD0400003,2025-04-11 10:50,Miếng lót chuột nhỏ,SP078,5,12000,60000,NV010,MoMo,KH763,Thái Bình
HD0400004,2025-04-03 06:12,Nước rửa tay Lifebuoy,SP036,6,25000,150000,NV022,Chuyển khoản,KH546,Tuyên Quang
HD0400005,2025-04-04 06:07,Máy sấy tóc mini,SP089,1,95000,95000,NV040,Tiền mặt,KH404,Lai Châu
HD0400006,2025-04-12 05:05,Nước suối Lavie 500ml,SP018,5,7000,35000,NV023,ZaloPay,KH600,Bắc Giang
HD0400007,2025-04-21 12:22,Bắp rang bơ đóng gói,SP048,7,11000,77000,NV004,ZaloPay,KH948,Nghệ An
HD0400008,2025-04-03 09:54,Mì Hảo Hảo tôm chua cay,SP001,9,9000,81000,NV010,MoMo,KH719,Bến Tre
HD0400009,2025-04-10 18:48,Sáp thơm phòng,SP093,5,20000,100000,NV032,Tiền mặt,,Bắc Kạn
HD0400010,2025-04-14 09:53,Bánh mì sandwich Tường An,SP047,8,23000,184000,NV034,Tiền mặt,KH124,Nghệ An
HD0400011,2025-04-13 20:34,Bánh tráng Tân Nhiên,SP004,7,12000,84000,NV017,MoMo,KH620,Quảng Bình
HD0400012,2025-04-28 14:38,Quạt mini USB,SP073,10,32000,320000,NV037,ZaloPay,KH245,Hà Tĩnh
HD0400013,2025-04-05 16:29,Bánh tráng Tân Nhiên,SP004,10,12000,120000,NV043,Tiền mặt,KH178,Đồng Tháp
HD0400014,2025-04-27 08:53,Sting dâu 330ml,SP023,9,10000,90000,NV050,Thẻ,KH241,Hà Nội
HD0400015,2025-04-10 18:38,File còng 4cm,SP082,5,26000,130000,NV015,Tiền mặt,KH030,Kiên Giang
HD0400016,2025-04-22 19:29,Chổi quét bụi mini,SP054,3,21000,63000,NV043,Thẻ,KH461,Bắc Giang
HD0400017,2025-04-18 22:17,Tai nghe nhét tai giá rẻ,SP058,6,35000,210000,NV007,MoMo,KH256,Phú Yên
HD0400018,2025-04-11 10:47,Bột giặt Omo 400g,SP039,6,18000,108000,NV007,Tiền mặt,KH087,Cà Mau
HD0400019,2025-04-06 18:14,Sữa rửa mặt Hazeline nghệ,SP034,9,34000,306000,NV004,Chuyển khoản,KH219,Nghệ An
HD0400020,2025-04-24 19:08,Khẩu trang y tế hộp 50 cái,SP090,4,37000,148000,NV027,Tiền mặt,KH599,Lâm Đồng
HD0400021,2025-04-12 09:23,Cafe Nescafe đen đá,SP028,7,17000,119000,NV007,Thẻ,,Sóc Trăng
HD0400022,2025-04-23 05:20,Bánh Pía Sóc Trăng mini,SP051,8,15000,120000,NV035,Tiền mặt,KH798,Thái Bình
HD0400023,2025-04-27 19:38,Nước ngọt Pepsi 390ml,SP021,2,9000,18000,NV018,Chuyển khoản,KH479,Bến Tre
HD0400024,2025-04-11 03:38,Gạo ST25 2kg,SP045,7,68000,476000,NV016,Chuyển khoản,KH158,Thái Bình
HD0400025,2025-04-15 22:51,Bút chì gỗ HB,SP068,3,7000,21000,NV044,Thẻ,,Vĩnh Long
HD0400026,2025-04-02 03:58,Máy tính Casio FX-580,SP087,5,720000,3600000,NV033,MoMo,KH720,Ninh Thuận
HD0400027,2025-04-15 15:15,Bột giặt Omo 400g,SP039,7,18000,126000,NV048,MoMo,KH257,Bình Thuận
HD0400028,2025-04-11 14:39,Bìa nhựa 2 mặt,SP067,7,8000,56000,NV013,ZaloPay,,Bến Tre
HD0400029,2025-04-21 21:54,Cafe lon Highlands,SP026,6,18000,108000,NV018,Chuyển khoản,KH316,Cà Mau
HD0400030,2025-04-14 03:26,Trà sữa C2,SP025,8,9000,72000,NV043,Chuyển khoản,KH193,Khánh Hòa
HD0400031,2025-04-23 12:52,Dao kéo nhà bếp,SP071,5,28000,140000,NV025,ZaloPay,KH132,Đắk Lắk
HD0400032,2025-04-24 12:47,Nước mắm Nam Ngư 500ml,SP041,4,18000,72000,NV048,Thẻ,KH118,Lào Cai
HD0400033,2025-04-03 20:16,Gạo ST25 2kg,SP045,10,68000,680000,NV004,MoMo,,Ninh Thuận
HD0400034,2025-04-02 22:37,Kem đánh răng P/S 100g,SP033,5,21000,105000,NV002,Chuyển khoản,KH751,Bắc Ninh
HD0400035,2025-04-09 08:27,Khẩu trang y tế hộp 50 cái,SP090,6,37000,222000,NV027,Thẻ,KH769,Nghệ An
HD0400036,2025-04-11 02:59,Bìa lá A4,SP083,1,12000,12000,NV027,Thẻ,,Hà Nam
HD0400037,2025-04-28 19:59,Sáp thơm phòng,SP093,7,20000,140000,NV001,ZaloPay,KH619,Bắc Ninh
