Mã giao dịch,Ngày bán,Tên mặt hàng,Mã sản phẩm,Số lượng,Đơn giá,Thành tiền,Mã nhân viên,Phương thức thanh toán,Mã khách hàng,Thành phố
HD1200001,2025-12-02 11:36,Tập vở 200 trang,SP064,6,14000,84000,NV022,Chuyển khoản,KH671,Bạc Liêu
HD1200002,2025-12-02 14:54,Sáp thơm phòng,SP093,2,20000,40000,NV041,Chuyển khoản,KH584,Kiên Giang
HD1200003,2025-12-20 18:08,Máy tính Casio FX-580,SP087,2,720000,1440000,NV040,MoMo,KH699,Cần Thơ
HD1200004,2025-12-12 11:14,Thước kẻ 20cm,SP065,5,6000,30000,NV010,Thẻ,KH400,Đồng Tháp
HD1200005,2025-12-18 07:15,Khăn giấy rút Pulppy,SP029,5,22000,110000,NV011,ZaloPay,KH098,Quảng Bình
HD1200006,2025-12-02 19:13,Bánh mì sandwich Tường An,SP047,1,23000,23000,NV008,Thẻ,KH425,Hà Nam
HD1200007,2025-12-13 18:09,Muối i-ốt 500g,SP043,2,7000,14000,NV004,Tiền mặt,KH253,Nam Định
HD1200008,2025-12-15 13:57,Pin tiểu Panasonic (2 viên),SP060,10,18000,180000,NV021,ZaloPay,KH498,Đồng Nai
HD1200009,2025-12-10 07:46,Sữa rửa mặt Hazeline nghệ,SP034,3,34000,102000,NV048,Chuyển khoản,KH650,Phú Yên
HD1200010,2025-12-02 22:21,Chổi lau nhà 360 độ,SP096,8,99000,792000,NV002,Tiền mặt,KH333,Phú Yên
HD1200011,2025-12-19 16:47,Nước xịt phòng hương lavender,SP092,1,42000,42000,NV030,Chuyển khoản,,Ninh Bình
HD1200012,2025-12-12 12:19,Sữa đậu nành Fami,SP011,6,6000,36000,NV005,Tiền mặt,,Thái Bình
HD1200013,2025-12-27 06:07,Giấy in A4 Double A,SP085,3,68000,204000,NV013,MoMo,KH582,Khánh Hòa
HD1200014,2025-12-01 12:59,Máy tính Casio FX-580,SP087,9,720000,6480000,NV037,Chuyển khoản,KH613,Bình Phước
HD1200015,2025-12-19 04:05,Nến thơm mini,SP053,10,25000,250000,NV040,Tiền mặt,KH059,Gia Lai
HD1200016,2025-12-22 04:22,Nước xả Comfort,SP040,4,52000,208000,NV030,Thẻ,KH618,Cà Mau
HD1200017,2025-12-17 19:56,Sữa chua uống Probi,SP009,2,7000,14000,NV029,Thẻ,KH116,Ninh Thuận
HD1200018,2025-12-19 04:10,Nước ép cam Twister,SP020,6,11000,66000,NV012,Tiền mặt,KH067,Quảng Bình
HD1200019,2025-12-25 18:55,Túi zipper đựng đồ,SP080,9,10000,90000,NV036,MoMo,KH246,Tuyên Quang
HD1200020,2025-12-14 02:23,Mì Omachi xốt spaghetti,SP002,5,11000,55000,NV023,MoMo,KH685,Kiên Giang
HD1200021,2025-12-10 08:31,Bộ dao cạo râu Gillette,SP095,1,33000,33000,NV021,Chuyển khoản,,Bắc Giang
HD1200022,2025-12-02 18:29,Bìa lá A4,SP083,9,12000,108000,NV002,MoMo,KH652,Hải Dương
HD1200023,2025-12-06 02:08,Bánh Chocopie Orion,SP012,8,38000,304000,NV025,Thẻ,KH661,Đồng Nai
HD1200024,2025-12-17 19:28,Trà xanh không độ,SP019,8,10000,80000,NV036,Tiền mặt,KH238,Bình Dương
HD1200025,2025-12-02 19:26,Sting dâu 330ml,SP023,9,10000,90000,NV022,ZaloPay,KH843,Vĩnh Phúc
HD1200026,2025-12-01 15:15,Bột giặt Omo 400g,SP039,6,18000,108000,NV042,Chuyển khoản,KH874,Kiên Giang
HD1200027,2025-12-19 18:35,Bánh Pía Sóc Trăng mini,SP051,5,15000,75000,NV018,MoMo,KH396,Lai Châu
HD1200028,2025-12-01 15:15,Sữa chua uống Probi,SP009,2,7000,14000,NV046,Chuyển khoản,,Phú Thọ
HD1200029,2025-12-25 10:40,Snack Oishi tôm cay,SP006,6,10000,60000,NV032,Tiền mặt,KH679,Lào Cai
HD1200030,2025-12-09 11:07,Chổi quét bụi mini,SP054,9,21000,189000,NV019,Chuyển khoản,KH852,Phú Thọ
HD1200031,2025-12-18 18:04,Snack Oishi tôm cay,SP006,4,10000,40000,NV015,ZaloPay,KH074,Sóc Trăng
HD1200032,2025-12-04 06:53,Gạo ST25 2kg,SP045,6,68000,408000,NV003,Thẻ,KH800,Hòa Bình
HD1200033,2025-12-25 09:51,Nước rửa tay Lifebuoy,SP036,9,25000,225000,NV032,ZaloPay,KH439,Cần Thơ
HD1200034,2025-12-07 18:29,Sữa chua uống Probi,SP009,8,7000,56000,NV013,MoMo,KH111,Bình Thuận
HD1200035,2025-12-08 04:39,Dầu ăn Tường An 1L,SP044,1,59000,59000,NV040,Tiền mặt,KH146,Nam Định
HD1200036,2025-12-04 14:49,Tập vở 200 trang,SP064,4,14000,56000,NV044,Chuyển khoản,KH171,Bình Phước
HD1200037,2025-12-27 22:08,Ổ cắm điện 3 lỗ,SP088,6,30000,180000,NV017,Chuyển khoản,KH397,Tiền Giang
HD1200038,2025-12-08 21:23,Ổ cắm điện 5 lỗ,SP057,9,35000,315000,NV042,ZaloPay,KH379,Sơn La
HD1200039,2025-12-01 19:45,Sữa đậu nành Fami,SP011,5,6000,30000,NV036,Chuyển khoản,KH570,Lai Châu
HD1200040,2025-12-02 13:05,Tai nghe nhét tai giá rẻ,SP058,7,35000,245000,NV042,MoMo,KH862,Hà Tĩnh
HD1200041,2025-12-27 17:30,Balo laptop chống sốc,SP074,4,140000,560000,NV041,Thẻ,,Quảng Ninh
HD1200042,2025-12-12 09:37,Bắp rang bơ đóng gói,SP048,7,11000,77000,NV048,Thẻ,KH546,Sơn La
