Mã giao dịch,Ngày bán,Tên mặt hàng,Mã sản phẩm,Số lượng,Đơn giá,Thành tiền,Mã nhân viên,Phương thức thanh toán,Mã khách hàng,Thành phố
HD0900001,2025-09-17 05:44,Nước mắm Nam Ngư 500ml,SP041,3,18000,54000,NV024,Chuyển khoản,KH948,Bà Rịa - Vũng Tàu
HD0900002,2025-09-25 15:21,Chổi lau nhà 360 độ,SP096,8,99000,792000,NV041,ZaloPay,,Thừa Thiên Huế
HD0900003,2025-09-12 08:50,Giấy decal in A4,SP086,6,19000,114000,NV026,Chuyển khoản,,Bà Rịa - Vũng Tàu
HD0900004,2025-09-13 07:10,Giấy decal in A4,SP086,10,19000,190000,NV048,ZaloPay,KH085,Quảng Trị
HD0900005,2025-09-14 05:41,Ổ cắm điện 5 lỗ,SP057,2,35000,70000,NV030,ZaloPay,KH066,Thái Bình
HD0900006,2025-09-23 11:13,Giấy decal in A4,SP086,10,19000,190000,NV028,ZaloPay,,Ninh Thuận
HD0900007,2025-09-07 00:31,Giấy decal in A4,SP086,4,19000,76000,NV031,ZaloPay,,Sơn La
HD0900008,2025-09-18 00:50,Thùng rác nhựa 10L,SP055,10,45000,450000,NV038,Thẻ,KH436,Quảng Bình
HD0900009,2025-09-18 21:16,Mì Hảo Hảo tôm chua cay,SP001,10,9000,90000,NV040,ZaloPay,KH733,Thái Nguyên
HD0900010,2025-09-15 02:55,Gạo ST25 2kg,SP045,5,68000,340000,NV009,ZaloPay,KH350,Nghệ An
HD0900011,2025-09-17 00:06,Balo laptop chống sốc,SP074,2,140000,280000,NV002,MoMo,KH913,Hà Giang
HD0900012,2025-09-08 09:29,File còng 4cm,SP082,6,26000,156000,NV034,MoMo,KH524,Cần Thơ
HD0900013,2025-09-26 08:26,Dao rọc giấy nhỏ,SP061,5,8000,40000,NV048,Tiền mặt,,Nghệ An
HD0900014,2025-09-04 13:34,Bộ dao cạo râu Gillette,SP095,6,33000,198000,NV003,MoMo,,Đắk Lắk
HD0900015,2025-09-15 13:04,Sữa rửa mặt Hazeline nghệ,SP034,9,34000,306000,NV041,MoMo,,Ninh Bình
HD0900016,2025-09-22 14:58,Bánh mì sandwich Tường An,SP047,8,23000,184000,NV041,MoMo,KH858,Ninh Thuận
HD0900017,2025-09-18 16:59,Tương cà Heinz,SP099,1,17000,17000,NV046,Tiền mặt,KH557,Phú Thọ
HD0900018,2025-09-20 08:04,Sữa tươi Vinamilk có đường 180ml,SP007,1,6500,6500,NV007,Tiền mặt,,Vĩnh Long
HD0900019,2025-09-04 15:54,Redbull Thái Lan 250ml,SP024,7,12000,84000,NV042,ZaloPay,,Yên Bái
HD0900020,2025-09-18 20:54,Giấy note 3x3,SP070,6,3000,18000,NV017,MoMo,,Nam Định
HD0900021,2025-09-27 16:17,Redbull Thái Lan 250ml,SP024,9,12000,108000,NV015,Thẻ,,Thừa Thiên Huế
HD0900022,2025-09-14 20:59,Balo laptop chống sốc,SP074,3,140000,420000,NV023,Thẻ,KH900,Ninh Thuận
HD0900023,2025-09-07 06:53,USB 32GB Kingston,SP076,7,110000,770000,NV034,Chuyển khoản,KH362,Phú Yên
HD0900024,2025-09-26 11:57,Thước kẻ 20cm,SP065,6,6000,36000,NV031,ZaloPay,KH497,Quảng Trị
HD0900025,2025-09-22 09:48,Nước lau sàn Gift,SP037,8,31000,248000,NV032,Chuyển khoản,KH863,Bình Thuận
