Mã giao dịch,Ngày bán,Tên mặt hàng,Mã sản phẩm,Số lượng,Đơn giá,Thành tiền,Mã nhân viên,Phương thức thanh toán,Mã khách hàng,Thành phố
HD1100001,2025-11-06 16:47,Dầu ăn Tường An 1L,SP044,8,59000,472000,NV002,MoMo,KH919,Lai Châu
HD1100002,2025-11-05 07:05,Bột giặt Omo 400g,SP039,1,18000,18000,NV015,MoMo,KH799,Hải Phòng
HD1100003,2025-11-11 14:36,Ổ cắm điện 3 lỗ,SP088,9,30000,270000,NV005,Tiền mặt,KH776,Bình Phước
HD1100004,2025-11-02 22:57,Bình nước giữ nhiệt 500ml,SP072,8,65000,520000,NV012,MoMo,KH364,Kiên Giang
HD1100005,2025-11-17 05:23,Túi zipper đựng đồ,SP080,4,10000,40000,NV026,Thẻ,KH320,Hà Tĩnh
HD1100006,2025-11-21 06:36,Sữa chua uống Probi,SP009,10,7000,70000,NV010,ZaloPay,KH733,Thái Nguyên
HD1100007,2025-11-10 18:38,Túi zipper đựng đồ,SP080,3,10000,30000,NV037,MoMo,,Đắk Nông
HD1100008,2025-11-01 17:45,Khăn giấy ướt Bobby,SP030,7,22000,154000,NV030,Tiền mặt,KH305,Đắk Nông
HD1100009,2025-11-27 12:53,Muối i-ốt 500g,SP043,9,7000,63000,NV027,ZaloPay,KH304,Lào Cai
HD1100010,2025-11-15 21:16,Đường Biên Hòa 1kg,SP042,4,25000,100000,NV009,ZaloPay,KH127,Nam Định
HD1100011,2025-11-26 22:05,Máy tính Casio FX-580,SP087,7,720000,5040000,NV033,Chuyển khoản,KH088,Bình Định
HD1100012,2025-11-14 16:44,Bao cao su OK hộp 3 cái,SP091,7,27000,189000,NV023,ZaloPay,KH739,Điện Biên
HD1100013,2025-11-09 17:08,Bánh quy AFC,SP049,7,16000,112000,NV017,Chuyển khoản,KH758,Đắk Lắk
HD1100014,2025-11-23 08:14,Tương cà Heinz,SP099,3,17000,51000,NV019,MoMo,KH263,Khánh Hòa
HD1100015,2025-11-05 09:04,Dầu ăn Tường An 1L,SP044,5,59000,295000,NV021,ZaloPay,KH346,Bà Rịa - Vũng Tàu
HD1100016,2025-11-14 10:14,Bánh tráng Tân Nhiên,SP004,4,12000,48000,NV005,Chuyển khoản,KH211,Quảng Nam
HD1100017,2025-11-21 11:41,Sữa tươi Vinamilk có đường 180ml,SP007,4,6500,26000,NV030,Tiền mặt,KH152,Hậu Giang
HD1100018,2025-11-07 00:42,Sting dâu 330ml,SP023,9,10000,90000,NV041,ZaloPay,,Bình Phước
HD1100019,2025-11-17 12:00,Sting dâu 330ml,SP023,2,10000,20000,NV025,ZaloPay,,Bến Tre
HD1100020,2025-11-08 01:17,Cafe lon Highlands,SP026,2,18000,36000,NV036,Tiền mặt,KH051,Bình Phước
HD1100021,2025-11-03 22:32,Bánh tráng cuốn mè,SP050,5,17000,85000,NV030,Thẻ,,Cà Mau
HD1100022,2025-11-17 12:06,Xà phòng Lifebuoy bánh,SP038,9,11000,99000,NV044,Thẻ,,Hải Dương
HD1100023,2025-11-09 00:32,USB 32GB Kingston,SP076,6,110000,660000,NV011,MoMo,KH432,Đồng Nai
HD1100024,2025-11-01 16:09,USB 32GB Kingston,SP076,8,110000,880000,NV026,Chuyển khoản,,Bắc Kạn
HD1100025,2025-11-10 06:21,Khăn giấy rút Pulppy,SP029,4,22000,88000,NV002,MoMo,,Bình Định
HD1100026,2025-11-05 19:56,Sữa tươi Vinamilk có đường 180ml,SP007,6,6500,39000,NV019,ZaloPay,,Đắk Lắk
HD1100027,2025-11-01 12:09,Nước suối Lavie 500ml,SP018,8,7000,56000,NV012,Chuyển khoản,KH823,Quảng Bình
HD1100028,2025-11-02 07:39,Mì Hảo Hảo tôm chua cay,SP001,7,9000,63000,NV036,Chuyển khoản,KH587,Tuyên Quang
HD1100029,2025-11-25 06:56,Bánh gạo One One,SP014,8,10000,80000,NV042,Chuyển khoản,,Sóc Trăng
HD1100030,2025-11-11 05:37,Khăn giấy ướt Bobby,SP030,3,22000,66000,NV050,Thẻ,KH888,Yên Bái
HD1100031,2025-11-12 15:07,Cafe G7 3in1,SP027,1,16000,16000,NV007,ZaloPay,KH891,Trà Vinh
HD1100032,2025-11-21 18:36,Sữa đậu nành Fami,SP011,2,6000,12000,NV012,Tiền mặt,,Hải Phòng
