Mã giao dịch,Ngày bán,Tên mặt hàng,Mã sản phẩm,Số lượng,Đơn giá,Thành tiền,Mã nhân viên,Phương thức thanh toán,Mã khách hàng,Thành phố
HD0100001,2025-01-18 13:20,Bộ dao cạo râu Gillette,SP095,5,33000,165000,NV038,Chuyển khoản,,Gia Lai
HD0100002,2025-01-03 02:24,Khăn giấy ướt Bobby,SP030,4,22000,88000,NV001,Thẻ,KH989,Hà Tĩnh
HD0100003,2025-01-05 13:20,Thùng rác nhựa 10L,SP055,4,45000,180000,NV016,MoMo,KH405,Tây Ninh
HD0100004,2025-01-28 09:17,Ổ cắm điện 3 lỗ,SP088,10,30000,300000,NV048,MoMo,KH441,Tây Ninh
HD0100005,2025-01-17 09:31,Thùng rác nhựa 10L,SP055,6,45000,270000,NV040,Chuyển khoản,KH011,Thanh Hóa
HD0100006,2025-01-21 06:10,Pin tiểu Panasonic (2 viên),SP060,1,18000,18000,NV041,ZaloPay,KH706,Phú Yên
HD0100007,2025-01-09 02:58,Băng keo trong 5cm,SP062,9,10000,90000,NV027,Tiền mặt,,Cần Thơ
HD0100008,2025-01-23 08:35,Khăn giấy rút Pulppy,SP029,8,22000,176000,NV016,Tiền mặt,KH690,Thừa Thiên Huế
HD0100009,2025-01-28 17:52,Ổ cắm điện 5 lỗ,SP057,7,35000,245000,NV029,Chuyển khoản,,Trà Vinh
HD0100010,2025-01-24 11:59,Sữa chua uống Probi,SP009,5,7000,35000,NV040,Chuyển khoản,KH100,Hà Nam
HD0100011,2025-01-19 17:09,Trà xanh không độ,SP019,4,10000,40000,NV008,Thẻ,KH837,Quảng Nam
HD0100012,2025-01-09 17:26,Bánh tráng cuốn mè,SP050,5,17000,85000,NV012,ZaloPay,KH748,Đồng Tháp
HD0100013,2025-01-27 13:30,Balo laptop chống sốc,SP074,3,140000,420000,NV011,Thẻ,KH939,Đồng Tháp
HD0100014,2025-01-04 15:54,Trứng gà CP hộp 10 quả,SP046,10,33000,330000,NV045,ZaloPay,,Quảng Bình
HD0100015,2025-01-08 17:38,Đường Biên Hòa 1kg,SP042,4,25000,100000,NV001,ZaloPay,KH591,Điện Biên
HD0100016,2025-01-14 15:48,Bìa lá A4,SP083,4,12000,48000,NV027,Chuyển khoản,,Hải Phòng
HD0100017,2025-01-04 20:57,Trà xanh không độ,SP019,3,10000,30000,NV006,Tiền mặt,KH593,Thái Bình
HD0100018,2025-01-21 18:00,Giấy note 3x3,SP070,10,3000,30000,NV020,Tiền mặt,KH959,Khánh Hòa
HD0100019,2025-01-07 05:37,Gia vị nấu bún bò Huế,SP100,10,24000,240000,NV035,Tiền mặt,KH226,Hải Phòng
HD0100020,2025-01-12 15:42,Nước suối Aquafina 500ml,SP017,8,7000,56000,NV017,Thẻ,,Nam Định
HD0100021,2025-01-16 03:21,Tương ớt Cholimex,SP098,4,12000,48000,NV034,Tiền mặt,,Trà Vinh
HD0100022,2025-01-23 23:47,Thước kẻ 20cm,SP065,4,6000,24000,NV021,Thẻ,KH430,Bắc Kạn
HD0100023,2025-01-17 16:22,Pin tiểu Panasonic (2 viên),SP060,7,18000,126000,NV032,Tiền mặt,KH067,Quảng Nam
HD0100024,2025-01-21 23:46,Muối i-ốt 500g,SP043,4,7000,28000,NV045,MoMo,,Lạng Sơn
HD0100025,2025-01-09 22:39,Kẹo cao su Doublemint,SP015,3,6000,18000,NV036,ZaloPay,KH467,Ninh Bình
HD0100026,2025-01-01 14:32,Bắp rang bơ đóng gói,SP048,1,11000,11000,NV009,Thẻ,KH217,Hòa Bình
HD0100027,2025-01-21 20:49,Trà xanh không độ,SP019,2,10000,20000,NV022,Thẻ,,Lạng Sơn
HD0100028,2025-01-20 09:25,Nước suối Aquafina 500ml,SP017,7,7000,49000,NV041,Thẻ,KH957,Trà Vinh
HD0100029,2025-01-24 05:14,Bánh Pía Sóc Trăng mini,SP051,10,15000,150000,NV047,ZaloPay,KH754,Đồng Tháp
HD0100030,2025-01-16 17:49,Nước ngọt Pepsi 390ml,SP021,3,9000,27000,NV006,Thẻ,KH177,Bắc Kạn
HD0100031,2025-01-15 02:00,Bánh Chocopie Orion,SP012,4,38000,152000,NV034,Chuyển khoản,KH798,Điện Biên
HD0100032,2025-01-23 12:41,Khay đựng hồ sơ,SP079,2,18000,36000,NV028,ZaloPay,,Khánh Hòa
HD0100033,2025-01-15 01:47,Kẹp giấy lớn,SP069,4,5000,20000,NV019,MoMo,,Lạng Sơn
HD0100034,2025-01-23 02:38,Băng keo trong 5cm,SP062,6,10000,60000,NV033,Tiền mặt,KH278,Cà Mau
HD0100035,2025-01-24 04:33,Muối i-ốt 500g,SP043,6,7000,42000,NV042,ZaloPay,,Trà Vinh
HD0100036,2025-01-18 08:46,Bánh quy Cosy Marie,SP013,2,15000,30000,NV035,MoMo,KH329,Tuyên Quang
HD0100037,2025-01-23 12:07,Snack Oishi tôm cay,SP006,5,10000,50000,NV030,Tiền mặt,KH901,Đà Nẵng
HD0100038,2025-01-12 05:16,Gạo ST25 2kg,SP045,2,68000,136000,NV029,Tiền mặt,KH743,Bình Thuận
HD0100039,2025-01-17 07:19,Bánh Pía Sóc Trăng mini,SP051,6,15000,90000,NV019,Tiền mặt,,Thanh Hóa
HD0100040,2025-01-18 02:23,Ổ cắm điện 5 lỗ,SP057,4,35000,140000,NV024,Chuyển khoản,KH229,Lâm Đồng
HD0100041,2025-01-06 21:58,Kẹo cao su Doublemint,SP015,1,6000,6000,NV015,Tiền mặt,KH603,Sơn La
HD0100042,2025-01-27 09:13,Gôm Pentel,SP066,3,4000,12000,NV037,Thẻ,KH074,Quảng Nam
HD0100043,2025-01-03 07:45,Ổ cứng SSD 240GB,SP075,2,620000,1240000,NV026,Thẻ,KH577,Đồng Tháp
HD0100044,2025-01-20 23:31,Bắp rang bơ đóng gói,SP048,6,11000,66000,NV007,Thẻ,KH251,Hòa Bình
HD0100045,2025-01-04 18:34,Cáp sạc Type-C,SP077,10,30000,300000,NV032,MoMo,,Bến Tre
HD0100046,2025-01-20 00:00,Băng keo trong 5cm,SP062,1,10000,10000,NV040,MoMo,KH423,Đồng Nai
HD0100047,2025-01-02 03:50,Trà sữa C2,SP025,7,9000,63000,NV018,MoMo,KH193,Quảng Ngãi
HD0100048,2025-01-06 00:41,Ổ cắm điện 3 lỗ,SP088,1,30000,30000,NV027,Thẻ,KH606,Bình Thuận
