Mã giao dịch,Ngày bán,Tên mặt hàng,Mã sản phẩm,Số lượng,Đơn giá,Thành tiền,Mã nhân viên,Phương thức thanh toán,Mã khách hàng,Thành phố
HD0600001,2025-06-10 21:54,Trà xanh không độ,SP019,8,10000,80000,NV038,Tiền mặt,,Bình Dương
HD0600002,2025-06-21 19:32,Mì Omachi xốt spaghetti,SP002,1,11000,11000,NV027,Tiền mặt,KH647,Sóc Trăng
HD0600003,2025-06-06 00:01,Snack Oishi tôm cay,SP006,8,10000,80000,NV031,Thẻ,,Yên Bái
HD0600004,2025-06-17 10:15,Bàn chải P/S,SP032,6,15000,90000,NV019,Thẻ,KH498,Yên Bái
HD0600005,2025-06-21 07:02,Sữa tươi Vinamilk có đường 180ml,SP007,2,6500,13000,NV036,ZaloPay,KH252,Hậu Giang
HD0600006,2025-06-22 14:02,Snack Lay’s vị khoai tây,SP005,7,12000,84000,NV033,MoMo,KH882,Thừa Thiên Huế
HD0600007,2025-06-20 14:24,Bánh quy AFC,SP049,2,16000,32000,NV047,MoMo,KH043,Long An
HD0600008,2025-06-02 17:42,Bộ dao cạo râu Gillette,SP095,6,33000,198000,NV008,MoMo,KH347,Đồng Nai
HD0600009,2025-06-05 14:53,Trà sữa C2,SP025,8,9000,72000,NV019,Chuyển khoản,KH665,Bình Thuận
HD0600010,2025-06-22 22:40,Thùng rác nhựa 10L,SP055,5,45000,225000,NV004,ZaloPay,KH203,Hà Nội
HD0600011,2025-06-28 20:53,Phở ăn liền Vifon,SP003,8,8500,68000,NV008,ZaloPay,KH878,Ninh Thuận
HD0600012,2025-06-16 01:29,Giấy decal in A4,SP086,7,19000,133000,NV006,ZaloPay,KH543,Đà Nẵng
HD0600013,2025-06-23 12:22,Sữa đặc Ông Thọ,SP010,4,25000,100000,NV036,Chuyển khoản,KH455,Đồng Nai
HD0600014,2025-06-24 03:50,Bột giặt Omo 400g,SP039,4,18000,72000,NV029,Thẻ,KH245,Điện Biên
HD0600015,2025-06-13 11:24,Sữa rửa mặt Hazeline nghệ,SP034,3,34000,102000,NV028,ZaloPay,KH006,Kiên Giang
HD0600016,2025-06-09 03:25,Nước suối Aquafina 500ml,SP017,8,7000,56000,NV032,Chuyển khoản,,Tiền Giang
HD0600017,2025-06-19 01:01,Băng keo trong 5cm,SP062,4,10000,40000,NV028,ZaloPay,KH457,Quảng Nam
HD0600018,2025-06-08 11:56,Mì Omachi xốt spaghetti,SP002,7,11000,77000,NV040,ZaloPay,KH468,Tiền Giang
HD0600019,2025-06-02 09:41,Bánh quy AFC,SP049,8,16000,128000,NV049,Thẻ,KH395,Quảng Ninh
HD0600020,2025-06-06 00:26,USB 32GB Kingston,SP076,2,110000,220000,NV033,MoMo,KH778,Vĩnh Phúc
HD0600021,2025-06-27 22:24,Nước xịt phòng hương lavender,SP092,6,42000,252000,NV034,Tiền mặt,KH839,Cao Bằng
HD0600022,2025-06-12 16:43,Snack Lay’s vị khoai tây,SP005,9,12000,108000,NV044,Chuyển khoản,KH419,Đắk Lắk
HD0600023,2025-06-04 20:20,Pin tiểu Panasonic (2 viên),SP060,9,18000,162000,NV029,Chuyển khoản,KH096,Bà Rịa - Vũng Tàu
HD0600024,2025-06-10 20:10,File còng 4cm,SP082,8,26000,208000,NV048,MoMo,,Đắk Nông
HD0600025,2025-06-15 02:35,Bánh tráng cuốn mè,SP050,7,17000,119000,NV044,ZaloPay,,Quảng Ninh
HD0600026,2025-06-07 16:06,Coca-Cola lon 330ml,SP022,7,9000,63000,NV029,MoMo,KH986,Nam Định
HD0600027,2025-06-27 06:58,Dao rọc giấy nhỏ,SP061,6,8000,48000,NV044,Thẻ,KH954,Sóc Trăng
HD0600028,2025-06-09 23:15,Xà phòng Lifebuoy bánh,SP038,2,11000,22000,NV017,Tiền mặt,,Tuyên Quang
HD0600029,2025-06-01 08:12,Giấy in A4 Double A,SP085,1,68000,68000,NV004,Tiền mặt,,Quảng Bình
HD0600030,2025-06-09 07:05,Bộ dao cạo râu Gillette,SP095,9,33000,297000,NV009,Thẻ,KH558,Quảng Ninh
HD0600031,2025-06-28 21:12,Dầu gội Clear Men 170g,SP035,1,46000,46000,NV032,Thẻ,KH013,An Giang
HD0600032,2025-06-07 23:17,Chổi lau nhà 360 độ,SP096,7,99000,693000,NV009,Tiền mặt,KH924,Long An
HD0600033,2025-06-17 06:04,Tương ớt Cholimex,SP098,8,12000,96000,NV007,Thẻ,KH840,Bến Tre
HD0600034,2025-06-07 16:53,Sting dâu 330ml,SP023,8,10000,80000,NV005,Chuyển khoản,KH245,Cao Bằng
HD0600035,2025-06-22 08:17,Trứng gà CP hộp 10 quả,SP046,6,33000,198000,NV040,Chuyển khoản,KH391,Kiên Giang
HD0600036,2025-06-05 17:00,Kẹp bướm 32mm,SP084,7,5000,35000,NV044,ZaloPay,KH771,Hà Nội
HD0600037,2025-06-10 04:07,Bột giặt Omo 400g,SP039,5,18000,90000,NV035,Thẻ,,Đắk Lắk
HD0600038,2025-06-24 23:35,Túi zipper đựng đồ,SP080,10,10000,100000,NV021,MoMo,KH719,Quảng Bình
HD0600039,2025-06-24 22:13,Kẹo Alpenliebe,SP016,9,5000,45000,NV025,MoMo,KH191,Bắc Ninh
HD0600040,2025-06-21 15:54,Băng keo trong 5cm,SP062,10,10000,100000,NV020,Chuyển khoản,KH355,Gia Lai
HD0600041,2025-06-12 17:38,Kem đánh răng P/S 100g,SP033,2,21000,42000,NV047,MoMo,KH851,Gia Lai
HD0600042,2025-06-12 22:40,Nước suối Lavie 500ml,SP018,9,7000,63000,NV015,Tiền mặt,KH202,Hà Tĩnh
HD0600043,2025-06-22 15:50,Balo laptop chống sốc,SP074,9,140000,1260000,NV021,Thẻ,KH179,Cà Mau
HD0600044,2025-06-28 21:55,Nước ngọt Pepsi 390ml,SP021,4,9000,36000,NV024,Tiền mặt,KH432,Phú Thọ
HD0600045,2025-06-20 05:39,Sữa rửa mặt Hazeline nghệ,SP034,3,34000,102000,NV049,Chuyển khoản,KH348,Bắc Ninh
HD0600046,2025-06-24 04:16,Khẩu trang y tế hộp 50 cái,SP090,8,37000,296000,NV030,Tiền mặt,KH611,Quảng Nam
HD0600047,2025-06-10 17:21,Redbull Thái Lan 250ml,SP024,7,12000,84000,NV024,ZaloPay,KH031,Ninh Bình
HD0600048,2025-06-04 03:42,Dầu ăn Tường An 1L,SP044,2,59000,118000,NV018,Thẻ,KH922,Quảng Ngãi
HD0600049,2025-06-09 01:44,Dụng cụ cắt móng tay,SP094,6,17000,102000,NV026,Thẻ,,Đà Nẵng
HD0600050,2025-06-14 17:14,Nước lau sàn Gift,SP037,6,31000,186000,NV007,ZaloPay,KH589,Long An
HD0600051,2025-06-28 23:53,Túi zipper đựng đồ,SP080,2,10000,20000,NV042,Chuyển khoản,KH703,An Giang
HD0600052,2025-06-16 11:24,Thùng rác nhựa 10L,SP055,9,45000,405000,NV042,ZaloPay,,Lào Cai
HD0600053,2025-06-26 06:41,Nước suối Aquafina 500ml,SP017,7,7000,49000,NV018,MoMo,KH832,Thanh Hóa
HD0600054,2025-06-01 06:23,Snack Lay’s vị khoai tây,SP005,10,12000,120000,NV035,Chuyển khoản,KH647,Đồng Nai
HD0600055,2025-06-01 19:54,Đường Biên Hòa 1kg,SP042,2,25000,50000,NV035,Chuyển khoản,KH725,Phú Thọ
HD0600056,2025-06-12 20:45,Cáp sạc Type-C,SP077,2,30000,60000,NV038,ZaloPay,KH853,Hải Dương
HD0600057,2025-06-09 12:59,Khẩu trang y tế hộp 50 cái,SP090,3,37000,111000,NV021,Chuyển khoản,KH708,Bình Dương
HD0600058,2025-06-12 15:23,Bộ dao cạo râu Gillette,SP095,7,33000,231000,NV043,ZaloPay,KH392,Cà Mau
HD0600059,2025-06-05 21:15,Snack Oishi tôm cay,SP006,6,10000,60000,NV031,MoMo,,Gia Lai
HD0600060,2025-06-15 12:46,Bắp rang bơ đóng gói,SP048,8,11000,88000,NV047,Tiền mặt,KH114,Bắc Ninh
HD0600061,2025-06-19 11:37,Muối i-ốt 500g,SP043,9,7000,63000,NV015,MoMo,KH464,Sơn La
HD0600062,2025-06-28 02:13,Tương ớt Cholimex,SP098,9,12000,108000,NV026,Chuyển khoản,KH508,Bà Rịa - Vũng Tàu
HD0600063,2025-06-13 11:32,Miếng dán cường lực điện thoại,SP059,9,15000,135000,NV010,MoMo,KH897,Hà Nội
HD0600064,2025-06-05 11:15,Dầu gội Clear Men 170g,SP035,4,46000,184000,NV020,Thẻ,,Long An
HD0600065,2025-06-28 04:55,Dao rọc giấy nhỏ,SP061,10,8000,80000,NV019,MoMo,KH876,Hà Tĩnh
HD0600066,2025-06-27 16:47,Cafe lon Highlands,SP026,10,18000,180000,NV008,ZaloPay,KH149,Điện Biên
HD0600067,2025-06-26 02:55,Muối i-ốt 500g,SP043,3,7000,21000,NV039,Chuyển khoản,KH879,Bình Thuận
HD0600068,2025-06-05 05:54,Ổ cắm điện 3 lỗ,SP088,1,30000,30000,NV028,MoMo,,Cần Thơ
HD0600069,2025-06-08 11:09,Cáp sạc Type-C,SP077,9,30000,270000,NV018,Tiền mặt,KH583,Đà Nẵng
HD0600070,2025-06-15 20:21,Khay đựng hồ sơ,SP079,10,18000,180000,NV019,Tiền mặt,KH688,Vĩnh Long
HD0600071,2025-06-03 23:12,Dầu ăn Tường An 1L,SP044,2,59000,118000,NV023,Tiền mặt,KH655,Tây Ninh
HD0600072,2025-06-19 14:04,Ổ cắm điện 5 lỗ,SP057,2,35000,70000,NV031,ZaloPay,KH124,Sơn La
HD0600073,2025-06-02 23:33,Bắp rang bơ đóng gói,SP048,7,11000,77000,NV013,Tiền mặt,KH277,Vĩnh Long
HD0600074,2025-06-03 15:35,Khẩu trang y tế hộp 50 cái,SP090,9,37000,333000,NV035,MoMo,KH451,Kon Tum
HD0600075,2025-06-08 12:23,Tương ớt Cholimex,SP098,6,12000,72000,NV019,Thẻ,,An Giang
HD0600076,2025-06-02 00:02,Sữa đặc Ông Thọ,SP010,10,25000,250000,NV022,Chuyển khoản,KH785,Hậu Giang
HD0600077,2025-06-21 17:38,Khăn giấy ướt Bobby,SP030,5,22000,110000,NV006,MoMo,KH636,Kon Tum
HD0600078,2025-06-08 14:09,Coca-Cola lon 330ml,SP022,1,9000,9000,NV049,Tiền mặt,KH975,Hải Dương
HD0600079,2025-06-11 21:45,Bánh tráng cuốn mè,SP050,7,17000,119000,NV035,Chuyển khoản,KH228,Kiên Giang
HD0600080,2025-06-26 20:21,Bánh quy AFC,SP049,1,16000,16000,NV035,Chuyển khoản,KH860,Long An
HD0600081,2025-06-19 12:16,Túi zipper đựng đồ,SP080,10,10000,100000,NV039,Thẻ,KH444,Nam Định
HD0600082,2025-06-23 14:07,Dụng cụ cắt móng tay,SP094,9,17000,153000,NV016,Chuyển khoản,KH559,Ninh Bình
HD0600083,2025-06-23 18:05,Snack Oishi tôm cay,SP006,4,10000,40000,NV010,ZaloPay,,Thanh Hóa
HD0600084,2025-06-23 07:51,Khay đựng hồ sơ,SP079,8,18000,144000,NV020,Thẻ,KH336,Hà Nội
HD0600085,2025-06-15 06:24,Mì Hảo Hảo tôm chua cay,SP001,8,9000,72000,NV002,Chuyển khoản,KH349,Hải Phòng
HD0600086,2025-06-03 01:27,Khẩu trang y tế hộp 50 cái,SP090,2,37000,74000,NV022,MoMo,KH004,Phú Yên
HD0600087,2025-06-05 05:22,Bánh quy AFC,SP049,9,16000,144000,NV040,Tiền mặt,KH018,Nam Định
HD0600088,2025-06-13 04:48,Tương cà Heinz,SP099,8,17000,136000,NV025,Thẻ,KH327,Đắk Nông
HD0600089,2025-06-19 06:27,Nước suối Aquafina 500ml,SP017,10,7000,70000,NV026,ZaloPay,KH573,Hà Tĩnh
HD0600090,2025-06-21 14:15,Pin tiểu Panasonic (2 viên),SP060,1,18000,18000,NV014,Chuyển khoản,KH197,Hưng Yên
HD0600091,2025-06-01 00:50,Kẹp giấy lớn,SP069,9,5000,45000,NV014,ZaloPay,KH398,Quảng Bình
HD0600092,2025-06-01 23:49,Bánh mì sandwich Tường An,SP047,7,23000,161000,NV044,Chuyển khoản,KH120,Đồng Tháp
HD0600093,2025-06-28 04:24,Mì Omachi xốt spaghetti,SP002,10,11000,110000,NV043,MoMo,,Bình Phước
HD0600094,2025-06-02 10:29,Sáp thơm phòng,SP093,2,20000,40000,NV042,Tiền mặt,,Vĩnh Long
HD0600095,2025-06-19 00:58,Kẹo cao su Doublemint,SP015,3,6000,18000,NV009,Thẻ,KH782,Nghệ An
HD0600096,2025-06-10 03:09,Khẩu trang y tế hộp 50 cái,SP090,7,37000,259000,NV049,Chuyển khoản,,Hà Tĩnh
HD0600097,2025-06-19 22:12,Ổ cứng SSD 240GB,SP075,2,620000,1240000,NV050,Chuyển khoản,KH953,Cần Thơ
HD0600098,2025-06-07 10:12,Redbull Thái Lan 250ml,SP024,6,12000,72000,NV032,MoMo,KH552,Sơn La
HD0600099,2025-06-19 13:03,Bột nêm Knorr 400g,SP097,9,35000,315000,NV002,ZaloPay,KH501,Hà Giang
HD0600100,2025-06-22 23:27,Bánh quy AFC,SP049,2,16000,32000,NV017,ZaloPay,,Tây Ninh
HD0600101,2025-06-02 18:18,Bánh quy AFC,SP049,2,16000,32000,NV046,ZaloPay,KH289,Thừa Thiên Huế
HD0600102,2025-06-22 13:16,Gôm Pentel,SP066,7,4000,28000,NV046,Thẻ,KH442,Đắk Nông
HD0600103,2025-06-01 18:48,USB 32GB Kingston,SP076,7,110000,770000,NV012,MoMo,KH178,Khánh Hòa
HD0600104,2025-06-07 11:18,Trứng gà CP hộp 10 quả,SP046,3,33000,99000,NV007,Chuyển khoản,,Đồng Tháp
HD0600105,2025-06-06 02:25,Kẹp bướm 32mm,SP084,4,5000,20000,NV036,Chuyển khoản,KH761,Lai Châu
HD0600106,2025-06-28 19:17,Thước kẻ 20cm,SP065,3,6000,18000,NV011,ZaloPay,KH470,Đồng Nai
HD0600107,2025-06-28 06:35,Nước suối Lavie 500ml,SP018,9,7000,63000,NV019,Thẻ,KH678,Bắc Ninh
HD0600108,2025-06-15 01:10,Bánh gạo One One,SP014,10,10000,100000,NV008,Tiền mặt,,Bình Dương
HD0600109,2025-06-24 18:00,Bột giặt Omo 400g,SP039,10,18000,180000,NV021,MoMo,KH509,Phú Thọ
HD0600110,2025-06-16 08:30,Sữa chua uống Probi,SP009,8,7000,56000,NV010,Tiền mặt,KH492,Hậu Giang
HD0600111,2025-06-16 09:54,Ổ cứng SSD 240GB,SP075,5,620000,3100000,NV026,Chuyển khoản,KH490,Bình Phước
HD0600112,2025-06-28 00:53,Trà xanh không độ,SP019,7,10000,70000,NV050,Chuyển khoản,,Bắc Kạn
HD0600113,2025-06-07 22:31,Cafe lon Highlands,SP026,8,18000,144000,NV041,Thẻ,KH141,Bà Rịa - Vũng Tàu
HD0600114,2025-06-07 20:01,Chổi quét bụi mini,SP054,4,21000,84000,NV015,MoMo,KH308,Hòa Bình
HD0600115,2025-06-20 06:33,Nước suối Lavie 500ml,SP018,8,7000,56000,NV007,MoMo,KH645,Hà Nam
HD0600116,2025-06-27 00:23,File còng 4cm,SP082,10,26000,260000,NV039,ZaloPay,,Cao Bằng
HD0600117,2025-06-20 20:04,Bánh quy Cosy Marie,SP013,9,15000,135000,NV018,ZaloPay,,Hải Phòng
HD0600118,2025-06-12 06:42,Cafe G7 3in1,SP027,3,16000,48000,NV021,MoMo,KH676,Bình Dương
HD0600119,2025-06-27 23:09,Dầu ăn Tường An 1L,SP044,6,59000,354000,NV027,Thẻ,,Ninh Bình
HD0600120,2025-06-18 22:07,Bình nước giữ nhiệt 500ml,SP072,7,65000,455000,NV011,Chuyển khoản,,Quảng Bình
HD0600121,2025-06-08 21:35,Dao rọc giấy nhỏ,SP061,1,8000,8000,NV015,Thẻ,KH956,Hà Nam
HD0600122,2025-06-28 06:14,Phở ăn liền Vifon,SP003,6,8500,51000,NV038,Chuyển khoản,KH957,Quảng Nam
HD0600123,2025-06-04 01:25,Tương cà Heinz,SP099,4,17000,68000,NV004,Thẻ,,Sơn La
HD0600124,2025-06-11 19:18,Sữa tươi Vinamilk không đường 180ml,SP008,3,6500,19500,NV024,MoMo,,Tiền Giang
HD0600125,2025-06-16 00:30,Bánh gạo One One,SP014,8,10000,80000,NV006,Thẻ,KH837,Thái Nguyên
HD0600126,2025-06-10 15:49,Kẹp bướm 32mm,SP084,2,5000,10000,NV003,ZaloPay,KH493,Thái Nguyên
HD0600127,2025-06-14 13:16,Bánh tráng Tân Nhiên,SP004,2,12000,24000,NV009,Chuyển khoản,KH538,Lào Cai
HD0600128,2025-06-22 10:41,Snack Oishi tôm cay,SP006,3,10000,30000,NV017,Tiền mặt,KH612,Hà Nội
HD0600129,2025-06-02 14:31,Tập vở 200 trang,SP064,1,14000,14000,NV029,MoMo,KH661,Đắk Lắk
HD0600130,2025-06-23 13:58,Mì Hảo Hảo tôm chua cay,SP001,3,9000,27000,NV017,MoMo,,Tuyên Quang
HD0600131,2025-06-28 16:21,Sữa chua uống Probi,SP009,7,7000,49000,NV007,Thẻ,KH321,Nghệ An
HD0600132,2025-06-13 05:33,Dầu gội Clear Men 170g,SP035,7,46000,322000,NV036,Thẻ,KH570,Yên Bái
HD0600133,2025-06-23 12:49,Balo laptop chống sốc,SP074,6,140000,840000,NV035,Thẻ,KH180,Phú Thọ
HD0600134,2025-06-14 06:35,Bột giặt Omo 400g,SP039,6,18000,108000,NV044,ZaloPay,KH836,Bắc Giang
HD0600135,2025-06-18 12:41,Bật lửa gas mini,SP056,1,6000,6000,NV031,ZaloPay,KH399,Bạc Liêu
HD0600136,2025-06-02 10:55,Ổ cắm điện 3 lỗ,SP088,4,30000,120000,NV011,Thẻ,KH479,Phú Thọ
HD0600137,2025-06-19 10:52,Pin tiểu Panasonic (2 viên),SP060,6,18000,108000,NV020,MoMo,KH007,Hải Phòng
HD0600138,2025-06-28 05:08,Bìa còng A4,SP081,5,22000,110000,NV031,Tiền mặt,,TP Hồ Chí Minh
