Mã giao dịch,Ngày bán,Tên mặt hàng,Mã sản phẩm,Số lượng,Đơn giá,Thành tiền,Mã nhân viên,Phương thức thanh toán,Mã khách hàng,Thành phố
HD1000001,2025-10-26 01:08,Kem đánh răng P/S 100g,SP033,4,21000,84000,NV039,ZaloPay,KH882,Bình Định
HD1000002,2025-10-28 07:02,Kẹp bướm 32mm,SP084,10,5000,50000,NV020,Chuyển khoản,KH656,TP Hồ Chí Minh
HD1000003,2025-10-07 03:55,Dao kéo nhà bếp,SP071,4,28000,112000,NV015,Chuyển khoản,KH023,Bà Rịa - Vũng Tàu
HD1000004,2025-10-08 17:54,Bộ dao cạo râu Gillette,SP095,10,33000,330000,NV001,Tiền mặt,KH753,Đồng Tháp
HD1000005,2025-10-03 01:47,Ổ cứng SSD 240GB,SP075,3,620000,1860000,NV034,Tiền mặt,KH230,Vĩnh Phúc
HD1000006,2025-10-12 01:58,Mì Hảo Hảo tôm chua cay,SP001,4,9000,36000,NV020,ZaloPay,,TP Hồ Chí Minh
HD1000007,2025-10-11 20:09,Chổi quét bụi mini,SP054,1,21000,21000,NV046,Tiền mặt,,Bắc Ninh
HD1000008,2025-10-06 18:27,Nước xịt phòng hương lavender,SP092,10,42000,420000,NV034,Tiền mặt,KH100,Bà Rịa - Vũng Tàu
HD1000009,2025-10-27 12:36,Khẩu trang y tế hộp 50 cái,SP090,9,37000,333000,NV013,ZaloPay,KH580,Sơn La
HD1000010,2025-10-18 00:47,Máy tính Casio FX-580,SP087,7,720000,5040000,NV044,Tiền mặt,,Quảng Bình
HD1000011,2025-10-21 03:16,Tương cà Heinz,SP099,9,17000,153000,NV025,Tiền mặt,,Trà Vinh
HD1000012,2025-10-11 00:37,Gạo ST25 2kg,SP045,4,68000,272000,NV012,Thẻ,KH604,Ninh Bình
HD1000013,2025-10-21 21:49,Sữa đậu nành Fami,SP011,8,6000,48000,NV026,Thẻ,KH632,Hà Nội
HD1000014,2025-10-03 06:13,Muối i-ốt 500g,SP043,9,7000,63000,NV001,ZaloPay,KH773,Bắc Kạn
HD1000015,2025-10-21 05:37,Khay đựng hồ sơ,SP079,5,18000,90000,NV006,Thẻ,KH007,Long An
HD1000016,2025-10-06 13:11,Sữa chua uống Probi,SP009,9,7000,63000,NV009,MoMo,KH373,Hà Nội
HD1000017,2025-10-02 08:52,Snack Lay’s vị khoai tây,SP005,3,12000,36000,NV005,Tiền mặt,KH156,Hòa Bình
HD1000018,2025-10-19 01:39,Bánh tráng Tân Nhiên,SP004,4,12000,48000,NV026,Tiền mặt,KH338,Khánh Hòa
HD1000019,2025-10-09 21:23,Snack Lay’s vị khoai tây,SP005,4,12000,48000,NV011,ZaloPay,KH947,Trà Vinh
HD1000020,2025-10-27 14:37,Chổi quét bụi mini,SP054,1,21000,21000,NV015,Chuyển khoản,KH634,Bạc Liêu
HD1000021,2025-10-05 06:24,Sữa rửa mặt Hazeline nghệ,SP034,4,34000,136000,NV039,ZaloPay,,Bình Định
HD1000022,2025-10-06 06:30,Trà xanh không độ,SP019,3,10000,30000,NV050,Tiền mặt,KH845,Đắk Nông
HD1000023,2025-10-05 22:52,Giấy decal in A4,SP086,1,19000,19000,NV008,ZaloPay,KH064,Hà Giang
HD1000024,2025-10-18 14:01,Gia vị nấu bún bò Huế,SP100,10,24000,240000,NV012,Tiền mặt,KH564,Bến Tre
HD1000025,2025-10-09 13:02,Túi zipper đựng đồ,SP080,1,10000,10000,NV008,ZaloPay,KH661,Cần Thơ
HD1000026,2025-10-10 19:56,Nước mắm Nam Ngư 500ml,SP041,7,18000,126000,NV031,Thẻ,KH200,Phú Yên
HD1000027,2025-10-15 17:39,Cafe lon Highlands,SP026,10,18000,180000,NV048,Thẻ,KH650,Ninh Bình
HD1000028,2025-10-17 23:01,Dụng cụ cắt móng tay,SP094,10,17000,170000,NV045,Tiền mặt,,Bắc Giang
HD1000029,2025-10-01 13:04,Bao cao su OK hộp 3 cái,SP091,10,27000,270000,NV033,ZaloPay,KH940,Bến Tre
HD1000030,2025-10-01 01:51,Sáp thơm phòng,SP093,3,20000,60000,NV008,MoMo,KH253,Ninh Thuận
HD1000031,2025-10-05 20:01,Sữa tươi Vinamilk không đường 180ml,SP008,7,6500,45500,NV040,MoMo,KH111,Tây Ninh
HD1000032,2025-10-07 22:26,Trà sữa C2,SP025,8,9000,72000,NV040,Tiền mặt,,Ninh Bình
HD1000033,2025-10-06 19:15,Cafe G7 3in1,SP027,1,16000,16000,NV040,ZaloPay,KH903,Cần Thơ
HD1000034,2025-10-28 11:46,Tương cà Heinz,SP099,4,17000,68000,NV022,Thẻ,,Trà Vinh
HD1000035,2025-10-01 01:27,Bìa còng A4,SP081,5,22000,110000,NV012,Chuyển khoản,,Hưng Yên
HD1000036,2025-10-10 00:34,Bình nước giữ nhiệt 500ml,SP072,8,65000,520000,NV012,Tiền mặt,,Tiền Giang
HD1000037,2025-10-04 21:06,Bật lửa gas mini,SP056,3,6000,18000,NV037,Tiền mặt,KH515,Tây Ninh
HD1000038,2025-10-12 18:25,Nước ép cam Twister,SP020,3,11000,33000,NV014,ZaloPay,KH214,Hà Nam
HD1000039,2025-10-26 18:32,Giấy decal in A4,SP086,10,19000,190000,NV024,ZaloPay,,Bạc Liêu
HD1000040,2025-10-12 02:43,Dầu gội Clear Men 170g,SP035,5,46000,230000,NV001,Thẻ,KH152,Gia Lai
HD1000041,2025-10-23 01:38,Trà sữa C2,SP025,6,9000,54000,NV020,ZaloPay,,Hà Giang
HD1000042,2025-10-22 17:36,Bột nêm Knorr 400g,SP097,4,35000,140000,NV037,ZaloPay,KH717,Trà Vinh
HD1000043,2025-10-01 01:15,Bánh quy Cosy Marie,SP013,7,15000,105000,NV030,ZaloPay,KH282,Quảng Ngãi
HD1000044,2025-10-27 17:20,Cáp sạc Type-C,SP077,2,30000,60000,NV041,Tiền mặt,,Cần Thơ
HD1000045,2025-10-13 01:41,Bắp rang bơ đóng gói,SP048,1,11000,11000,NV008,Chuyển khoản,KH136,Gia Lai
HD1000046,2025-10-08 07:03,Bao cao su OK hộp 3 cái,SP091,9,27000,243000,NV047,Tiền mặt,KH383,Yên Bái
