Mã giao dịch,Ngày bán,Tên mặt hàng,Mã sản phẩm,Số lượng,Đơn giá,Thành tiền,Mã nhân viên,Phương thức thanh toán,Mã khách hàng,Thành phố
HD0800001,2025-08-15 09:49,Bánh quy AFC,SP049,5,16000,80000,NV021,Chuyển khoản,KH148,Ninh Bình
HD0800002,2025-08-22 14:25,Trứng gà CP hộp 10 quả,SP046,9,33000,297000,NV030,MoMo,KH771,Lào Cai
HD0800003,2025-08-17 09:40,Nước rửa tay Lifebuoy,SP036,3,25000,75000,NV028,MoMo,KH195,Vĩnh Long
HD0800004,2025-08-17 09:40,Tương ớt Cholimex,SP098,2,12000,24000,NV007,MoMo,,Thanh Hóa
HD0800005,2025-08-06 09:27,Nến thơm mini,SP053,3,25000,75000,NV002,ZaloPay,,Tây Ninh
HD0800006,2025-08-28 20:47,Giấy in A4 Double A,SP085,8,68000,544000,NV001,MoMo,KH123,Thái Bình
HD0800007,2025-08-05 16:42,Ổ cắm điện 3 lỗ,SP088,7,30000,210000,NV027,ZaloPay,KH943,Ninh Bình
HD0800008,2025-08-12 13:44,Bánh Chocopie Orion,SP012,6,38000,228000,NV008,Chuyển khoản,KH074,Bình Phước
HD0800009,2025-08-23 22:53,Gạo ST25 2kg,SP045,8,68000,544000,NV037,Chuyển khoản,KH899,Hưng Yên
HD0800010,2025-08-18 21:25,Bánh Pía Sóc Trăng mini,SP051,1,15000,15000,NV047,ZaloPay,KH404,Đồng Tháp
HD0800011,2025-08-13 15:49,Trà xanh không độ,SP019,8,10000,80000,NV008,Thẻ,,Thừa Thiên Huế
HD0800012,2025-08-26 19:07,Miếng lót chuột nhỏ,SP078,9,12000,108000,NV045,Tiền mặt,KH034,Bắc Giang
HD0800013,2025-08-01 14:43,Ổ cắm điện 3 lỗ,SP088,1,30000,30000,NV009,ZaloPay,KH459,Khánh Hòa
HD0800014,2025-08-23 23:29,Giấy note 3x3,SP070,2,3000,6000,NV008,Thẻ,KH960,Hà Nam
HD0800015,2025-08-11 10:56,Sữa tươi Vinamilk có đường 180ml,SP007,3,6500,19500,NV008,ZaloPay,KH026,Bến Tre
HD0800016,2025-08-13 01:07,Dụng cụ cắt móng tay,SP094,2,17000,34000,NV037,Chuyển khoản,,Trà Vinh
HD0800017,2025-08-23 17:26,Bánh tráng Tân Nhiên,SP004,7,12000,84000,NV017,Tiền mặt,,Quảng Nam
HD0800018,2025-08-22 04:33,Dầu ăn Tường An 1L,SP044,5,59000,295000,NV038,Chuyển khoản,KH165,Kon Tum
HD0800019,2025-08-13 05:31,Redbull Thái Lan 250ml,SP024,7,12000,84000,NV004,Thẻ,KH230,Tây Ninh
HD0800020,2025-08-10 07:08,Máy sấy tóc mini,SP089,1,95000,95000,NV007,Thẻ,,Phú Yên
HD0800021,2025-08-24 15:33,Gạo ST25 2kg,SP045,4,68000,272000,NV019,Chuyển khoản,KH313,Vĩnh Phúc
HD0800022,2025-08-20 03:20,Gia vị nấu bún bò Huế,SP100,3,24000,72000,NV032,ZaloPay,KH823,Trà Vinh
HD0800023,2025-08-05 21:31,Nước ép cam Twister,SP020,1,11000,11000,NV023,ZaloPay,KH388,Bạc Liêu
HD0800024,2025-08-03 01:08,Kẹo Alpenliebe,SP016,4,5000,20000,NV031,Chuyển khoản,KH756,Vĩnh Long
HD0800025,2025-08-03 07:36,Cafe lon Highlands,SP026,10,18000,180000,NV023,Chuyển khoản,KH802,Bà Rịa - Vũng Tàu
HD0800026,2025-08-12 15:09,Ổ cắm điện 3 lỗ,SP088,1,30000,30000,NV018,Tiền mặt,KH078,Tiền Giang
HD0800027,2025-08-14 14:32,Giấy decal in A4,SP086,4,19000,76000,NV020,ZaloPay,KH466,An Giang
HD0800028,2025-08-27 11:45,Tương ớt Cholimex,SP098,6,12000,72000,NV028,ZaloPay,KH664,Hưng Yên
HD0800029,2025-08-16 04:00,Chổi quét bụi mini,SP054,5,21000,105000,NV043,Tiền mặt,KH334,TP Hồ Chí Minh
