Mã giao dịch,Ngày bán,Tên mặt hàng,Mã sản phẩm,Số lượng,Đơn giá,Thành tiền,Mã nhân viên,Phương thức thanh toán,Mã khách hàng,Thành phố
HD0200001,2025-02-04 17:38,Dao kéo nhà bếp,SP071,8,28000,224000,NV048,ZaloPay,KH843,TP Hồ Chí Minh
HD0200002,2025-02-23 16:29,Thùng rác nhựa 10L,SP055,7,45000,315000,NV033,Tiền mặt,,Quảng Ngãi
HD0200003,2025-02-21 10:24,Xà phòng Lifebuoy bánh,SP038,2,11000,22000,NV032,ZaloPay,,Hà Nội
HD0200004,2025-02-15 05:17,Nước suối Aquafina 500ml,SP017,1,7000,7000,NV047,ZaloPay,KH926,Bình Thuận
HD0200005,2025-02-03 21:29,Máy tính Casio FX-580,SP087,8,720000,5760000,NV025,Chuyển khoản,KH217,Trà Vinh
HD0200006,2025-02-09 22:06,Trứng gà CP hộp 10 quả,SP046,7,33000,231000,NV015,Chuyển khoản,KH852,Quảng Bình
HD0200007,2025-02-04 02:23,Mì Omachi xốt spaghetti,SP002,7,11000,77000,NV017,Thẻ,KH048,Bình Dương
HD0200008,2025-02-25 23:48,Gạo ST25 2kg,SP045,9,68000,612000,NV045,Thẻ,,Thừa Thiên Huế
HD0200009,2025-02-22 11:41,Cafe lon Highlands,SP026,4,18000,72000,NV004,Thẻ,,Ninh Bình
HD0200010,2025-02-26 23:01,Pin tiểu Panasonic (2 viên),SP060,6,18000,108000,NV019,ZaloPay,KH339,Lai Châu
HD0200011,2025-02-03 02:25,Cáp sạc Type-C,SP077,6,30000,180000,NV033,ZaloPay,KH075,Long An
HD0200012,2025-02-01 12:43,Máy tính Casio FX-580,SP087,1,720000,720000,NV025,MoMo,,Bình Thuận
HD0200013,2025-02-09 06:10,Cafe lon Highlands,SP026,10,18000,180000,NV010,Tiền mặt,KH061,Quảng Ngãi
HD0200014,2025-02-07 13:31,Bắp rang bơ đóng gói,SP048,5,11000,55000,NV038,Thẻ,KH418,Hà Nam
HD0200015,2025-02-19 09:15,Sữa tươi Vinamilk có đường 180ml,SP007,10,6500,65000,NV010,Chuyển khoản,KH330,Lào Cai
HD0200016,2025-02-02 06:12,Trà xanh không độ,SP019,1,10000,10000,NV043,ZaloPay,KH735,Bình Định
HD0200017,2025-02-12 13:20,Bình nước giữ nhiệt 500ml,SP072,9,65000,585000,NV015,MoMo,,Nam Định
HD0200018,2025-02-25 22:22,Bánh tráng Tân Nhiên,SP004,1,12000,12000,NV022,MoMo,KH611,An Giang
HD0200019,2025-02-18 09:45,Miếng dán cường lực điện thoại,SP059,6,15000,90000,NV029,Thẻ,KH804,Nghệ An
HD0200020,2025-02-10 17:26,Máy sấy tóc mini,SP089,8,95000,760000,NV005,ZaloPay,KH884,Quảng Ngãi
HD0200021,2025-02-20 14:35,Tập vở 200 trang,SP064,5,14000,70000,NV034,Thẻ,,Bến Tre
HD0200022,2025-02-23 03:53,Bánh gạo One One,SP014,2,10000,20000,NV017,ZaloPay,,Ninh Thuận
HD0200023,2025-02-02 08:49,Tai nghe nhét tai giá rẻ,SP058,9,35000,315000,NV026,Thẻ,KH930,Tuyên Quang
HD0200024,2025-02-17 00:36,Bộ dao cạo râu Gillette,SP095,5,33000,165000,NV005,Tiền mặt,KH246,Sóc Trăng
HD0200025,2025-02-21 20:48,Bắp rang bơ đóng gói,SP048,1,11000,11000,NV039,MoMo,KH024,Cao Bằng
