Mã giao dịch,Ngày bán,Tên mặt hàng,Mã sản phẩm,Số lượng,Đơn giá,Thành tiền,Mã nhân viên,Phương thức thanh toán,Mã khách hàng,Thành phố
HD0700001,2025-07-12 07:54,Bật lửa gas mini,SP056,1,6000,6000,NV026,ZaloPay,KH845,Bến Tre
HD0700002,2025-07-16 22:26,Nến thơm mini,SP053,10,25000,250000,NV047,Tiền mặt,,Ninh Thuận
HD0700003,2025-07-07 12:00,Thùng rác nhựa 10L,SP055,3,45000,135000,NV047,ZaloPay,KH989,Thừa Thiên Huế
HD0700004,2025-07-12 10:59,Ổ cứng SSD 240GB,SP075,10,620000,6200000,NV033,MoMo,KH427,Quảng Ninh
HD0700005,2025-07-11 20:11,Phở ăn liền Vifon,SP003,6,8500,51000,NV025,ZaloPay,KH344,Hà Nam
HD0700006,2025-07-23 00:48,Nước ngọt Pepsi 390ml,SP021,2,9000,18000,NV042,Chuyển khoản,KH334,Quảng Trị
HD0700007,2025-07-14 01:50,Bánh Pía Sóc Trăng mini,SP051,2,15000,30000,NV007,Tiền mặt,KH462,Lạng Sơn
HD0700008,2025-07-24 09:34,Giấy note 3x3,SP070,6,3000,18000,NV047,Chuyển khoản,KH815,Cao Bằng
HD0700009,2025-07-04 13:36,Sữa đậu nành Fami,SP011,3,6000,18000,NV009,Chuyển khoản,KH068,Lai Châu
HD0700010,2025-07-11 18:10,Kem đánh răng P/S 100g,SP033,9,21000,189000,NV017,Thẻ,,Tuyên Quang
HD0700011,2025-07-02 07:50,Nước suối Lavie 500ml,SP018,6,7000,42000,NV013,Chuyển khoản,KH960,Tây Ninh
HD0700012,2025-07-20 06:44,Máy tính Casio FX-580,SP087,2,720000,1440000,NV046,Tiền mặt,KH390,Hậu Giang
HD0700013,2025-07-16 16:20,Nến thơm mini,SP053,9,25000,225000,NV026,Thẻ,KH663,Hà Nam
HD0700014,2025-07-10 23:33,Cafe G7 3in1,SP027,5,16000,80000,NV005,Thẻ,KH748,Hải Phòng
HD0700015,2025-07-23 22:08,Sữa tươi Vinamilk không đường 180ml,SP008,5,6500,32500,NV042,Thẻ,KH347,Cà Mau
HD0700016,2025-07-06 00:32,Thùng rác nhựa 10L,SP055,10,45000,450000,NV008,Tiền mặt,KH364,Bạc Liêu
HD0700017,2025-07-04 12:59,Nước ngọt Pepsi 390ml,SP021,8,9000,72000,NV044,Chuyển khoản,KH951,Cao Bằng
HD0700018,2025-07-13 13:45,Giấy decal in A4,SP086,5,19000,95000,NV025,Chuyển khoản,KH063,Long An
HD0700019,2025-07-17 18:25,Bộ dao cạo râu Gillette,SP095,5,33000,165000,NV038,Chuyển khoản,KH614,Nam Định
HD0700020,2025-07-25 01:49,Kẹo Alpenliebe,SP016,6,5000,30000,NV030,Chuyển khoản,KH137,Bà Rịa - Vũng Tàu
HD0700021,2025-07-05 22:48,Bánh quy AFC,SP049,5,16000,80000,NV028,ZaloPay,KH593,Hà Tĩnh
HD0700022,2025-07-23 22:55,Thước kẻ 20cm,SP065,5,6000,30000,NV050,ZaloPay,KH555,Lâm Đồng
HD0700023,2025-07-04 17:26,Bánh tráng cuốn mè,SP050,3,17000,51000,NV045,Tiền mặt,KH406,Nam Định
HD0700024,2025-07-23 02:31,Snack Oishi tôm cay,SP006,8,10000,80000,NV030,Thẻ,KH579,Yên Bái
HD0700025,2025-07-13 05:11,Ổ cắm điện 3 lỗ,SP088,2,30000,60000,NV047,MoMo,KH091,Hậu Giang
HD0700026,2025-07-24 06:57,Dầu gội Clear Men 170g,SP035,3,46000,138000,NV013,Tiền mặt,KH627,Kon Tum
HD0700027,2025-07-15 08:49,Mì Hảo Hảo tôm chua cay,SP001,10,9000,90000,NV026,Tiền mặt,KH819,Quảng Ninh
HD0700028,2025-07-23 07:16,Redbull Thái Lan 250ml,SP024,6,12000,72000,NV034,ZaloPay,,An Giang
HD0700029,2025-07-17 10:56,Bộ dao cạo râu Gillette,SP095,5,33000,165000,NV046,Tiền mặt,KH940,Bà Rịa - Vũng Tàu
HD0700030,2025-07-18 18:45,Trà lipton túi lọc hộp 25 gói,SP052,10,42000,420000,NV025,Tiền mặt,,Lai Châu
HD0700031,2025-07-04 19:22,Khăn giấy ướt Bobby,SP030,10,22000,220000,NV041,Tiền mặt,KH228,Cần Thơ
HD0700032,2025-07-21 11:45,Nước ép cam Twister,SP020,4,11000,44000,NV032,ZaloPay,KH557,Điện Biên
HD0700033,2025-07-10 17:51,Giấy note 3x3,SP070,7,3000,21000,NV002,Thẻ,KH514,Vĩnh Phúc
HD0700034,2025-07-03 23:12,Nước xả Comfort,SP040,7,52000,364000,NV016,ZaloPay,,Hải Dương
HD0700035,2025-07-11 21:39,Coca-Cola lon 330ml,SP022,3,9000,27000,NV025,MoMo,,Đắk Lắk
HD0700036,2025-07-27 14:13,Muối i-ốt 500g,SP043,8,7000,56000,NV019,Thẻ,,Hà Nội
HD0700037,2025-07-22 11:25,Cafe lon Highlands,SP026,5,18000,90000,NV040,Tiền mặt,KH274,Thanh Hóa
HD0700038,2025-07-21 00:46,Dao rọc giấy nhỏ,SP061,8,8000,64000,NV045,Thẻ,KH044,Lạng Sơn
HD0700039,2025-07-28 16:38,Bút bi Thiên Long,SP063,6,5000,30000,NV040,MoMo,KH917,Hà Nam
HD0700040,2025-07-22 02:46,Tương cà Heinz,SP099,2,17000,34000,NV031,Chuyển khoản,KH153,Yên Bái
HD0700041,2025-07-27 05:48,Bánh quy AFC,SP049,10,16000,160000,NV008,ZaloPay,KH306,Quảng Ngãi
HD0700042,2025-07-19 00:00,Bột giặt Omo 400g,SP039,3,18000,54000,NV033,Chuyển khoản,KH671,Bắc Ninh
HD0700043,2025-07-13 00:33,Khăn giấy rút Pulppy,SP029,3,22000,66000,NV001,Thẻ,KH923,Lai Châu
HD0700044,2025-07-04 08:44,Kẹp bướm 32mm,SP084,2,5000,10000,NV021,Thẻ,KH163,Hòa Bình
HD0700045,2025-07-06 21:08,Bánh Pía Sóc Trăng mini,SP051,3,15000,45000,NV029,MoMo,KH185,Bình Phước
HD0700046,2025-07-20 22:38,Kẹp giấy lớn,SP069,9,5000,45000,NV046,Thẻ,KH211,Bình Dương
HD0700047,2025-07-12 08:57,Sting dâu 330ml,SP023,9,10000,90000,NV001,Chuyển khoản,KH495,Nam Định
HD0700048,2025-07-24 03:33,Trà sữa C2,SP025,9,9000,81000,NV007,ZaloPay,,Thái Bình
HD0700049,2025-07-10 08:21,Sting dâu 330ml,SP023,2,10000,20000,NV032,Tiền mặt,KH620,Thanh Hóa
HD0700050,2025-07-02 04:18,Nến thơm mini,SP053,7,25000,175000,NV026,Tiền mặt,KH071,Phú Thọ
HD0700051,2025-07-27 03:12,Tương cà Heinz,SP099,2,17000,34000,NV028,Thẻ,KH186,Phú Thọ
HD0700052,2025-07-01 05:14,Redbull Thái Lan 250ml,SP024,8,12000,96000,NV001,MoMo,,Bắc Kạn
HD0700053,2025-07-05 23:28,Trà sữa C2,SP025,7,9000,63000,NV042,Tiền mặt,KH013,Bình Định
HD0700054,2025-07-18 03:00,Giấy decal in A4,SP086,7,19000,133000,NV004,Thẻ,KH776,Quảng Ninh
HD0700055,2025-07-03 07:48,Redbull Thái Lan 250ml,SP024,6,12000,72000,NV005,MoMo,KH007,Kiên Giang
HD0700056,2025-07-18 04:37,Miếng lót chuột nhỏ,SP078,3,12000,36000,NV043,Chuyển khoản,KH234,Khánh Hòa
HD0700057,2025-07-23 19:08,Bánh quy AFC,SP049,5,16000,80000,NV005,ZaloPay,,Lâm Đồng
